,1,3,5,MER
count,1.0,1.0,1.0,1.0
mean,0.7940678217968913,0.946562843641335,0.9672779148215294,0.8894403661544863
std,,,,
min,0.7940678217968913,0.946562843641335,0.9672779148215294,0.8894403661544863
25%,0.7940678217968913,0.946562843641335,0.9672779148215294,0.8894403661544863
50%,0.7940678217968913,0.946562843641335,0.9672779148215294,0.8894403661544863
75%,0.7940678217968913,0.946562843641335,0.9672779148215294,0.8894403661544863
max,0.7940678217968913,0.946562843641335,0.9672779148215294,0.8894403661544863
