,1,3,5,MER
count,1.0,1.0,1.0,1.0
mean,0.784765357981395,0.9419561922311053,0.9654946949207953,0.8829613338484857
std,,,,
min,0.784765357981395,0.9419561922311053,0.9654946949207953,0.8829613338484857
25%,0.784765357981395,0.9419561922311053,0.9654946949207953,0.8829613338484857
50%,0.784765357981395,0.9419561922311053,0.9654946949207953,0.8829613338484857
75%,0.784765357981395,0.9419561922311053,0.9654946949207953,0.8829613338484857
max,0.784765357981395,0.9419561922311053,0.9654946949207953,0.8829613338484857
