,1,3,5,MER
count,1.0,1.0,1.0,1.0
mean,0.7913632716141112,0.9459387166760781,0.9679317621184652,0.8890540018426606
std,,,,
min,0.7913632716141112,0.9459387166760781,0.9679317621184652,0.8890540018426606
25%,0.7913632716141112,0.9459387166760781,0.9679317621184652,0.8890540018426606
50%,0.7913632716141112,0.9459387166760781,0.9679317621184652,0.8890540018426606
75%,0.7913632716141112,0.9459387166760781,0.9679317621184652,0.8890540018426606
max,0.7913632716141112,0.9459387166760781,0.9679317621184652,0.8890540018426606
