,1,3,5,MER,epochs
count,5.0,5.0,5.0,5.0,5.0
mean,0.7375135337113493,0.9015202120688661,0.9311443999078237,0.8288231894904696,1.4
std,0.0027889833034978216,0.0008614519652040859,0.0009787837252759142,0.0018688000683552697,0.5477225575051661
min,0.7347401270572501,0.9002860645688598,0.929635546309024,0.826206486606977,1.0
25%,0.7352230932124679,0.9011776943938775,0.9309384055278995,0.8282498049559758,1.0
50%,0.7367834454062488,0.90147490433555,0.9311215960173868,0.8284727124122302,1.0
75%,0.7397555448229743,0.9022587116427669,0.9319760745996953,0.8301445183341383,2.0
max,0.7410654580578052,0.9024036854032768,0.9320503770851135,0.831042425143027,2.0
