,1,3,5,MER
count,1.0,1.0,1.0,1.0
mean,0.7511516628525574,0.9342586263262698,0.9658216185692632,0.8685172526525397
std,,,,
min,0.7511516628525574,0.9342586263262698,0.9658216185692632,0.8685172526525397
25%,0.7511516628525574,0.9342586263262698,0.9658216185692632,0.8685172526525397
50%,0.7511516628525574,0.9342586263262698,0.9658216185692632,0.8685172526525397
75%,0.7511516628525574,0.9342586263262698,0.9658216185692632,0.8685172526525397
max,0.7511516628525574,0.9342586263262698,0.9658216185692632,0.8685172526525397
