,1,3,5,MER
count,1.0,1.0,1.0,1.0
mean,0.7854786459416887,0.9434422088150504,0.9663268642078046,0.8856956043629447
std,,,,
min,0.7854786459416887,0.9434422088150504,0.9663268642078046,0.8856956043629447
25%,0.7854786459416887,0.9434422088150504,0.9663268642078046,0.8856956043629447
50%,0.7854786459416887,0.9434422088150504,0.9663268642078046,0.8856956043629447
75%,0.7854786459416887,0.9434422088150504,0.9663268642078046,0.8856956043629447
max,0.7854786459416887,0.9434422088150504,0.9663268642078046,0.8856956043629447
