,1,3,5,MER
count,1.0,1.0,1.0,1.0
mean,0.8038458109192499,0.9523880286503997,0.9725978541920528,0.8974351353761107
std,,,,
min,0.8038458109192499,0.9523880286503997,0.9725978541920528,0.8974351353761107
25%,0.8038458109192499,0.9523880286503997,0.9725978541920528,0.8974351353761107
50%,0.8038458109192499,0.9523880286503997,0.9725978541920528,0.8974351353761107
75%,0.8038458109192499,0.9523880286503997,0.9725978541920528,0.8974351353761107
max,0.8038458109192499,0.9523880286503997,0.9725978541920528,0.8974351353761107
