,loss,accuracy
0,2.9106075763702393,0.2920379638671875
1,2.1785776615142822,0.42596548795700073
2,2.001995801925659,0.4634323716163635
3,1.9026738405227661,0.48590439558029175
4,1.8389805555343628,0.5010253190994263
5,1.7926737070083618,0.5107195973396301
6,1.765747308731079,0.516839325428009
7,1.7559151649475098,0.5199077129364014
8,1.7534403800964355,0.5211658477783203
9,1.7483264207839966,0.5214958786964417
10,1.780196189880371,0.5184125304222107
11,1.7605043649673462,0.5199066400527954
12,1.7639660835266113,0.5199493765830994
