,1,3,5,MER
count,1.0,1.0,1.0,1.0
mean,0.7927601272030196,0.9544981721996018,0.9735489048057776,0.9000505245638541
std,,,,
min,0.7927601272030196,0.9544981721996018,0.9735489048057776,0.9000505245638541
25%,0.7927601272030196,0.9544981721996018,0.9735489048057776,0.9000505245638541
50%,0.7927601272030196,0.9544981721996018,0.9735489048057776,0.9000505245638541
75%,0.7927601272030196,0.9544981721996018,0.9735489048057776,0.9000505245638541
max,0.7927601272030196,0.9544981721996018,0.9735489048057776,0.9000505245638541
