,1,3,5,MER
count,1.0,1.0,1.0,1.0
mean,0.7734121912800547,0.9407970992956282,0.9640383986685291,0.8829910541801647
std,,,,
min,0.7734121912800547,0.9407970992956282,0.9640383986685291,0.8829910541801647
25%,0.7734121912800547,0.9407970992956282,0.9640383986685291,0.8829910541801647
50%,0.7734121912800547,0.9407970992956282,0.9640383986685291,0.8829910541801647
75%,0.7734121912800547,0.9407970992956282,0.9640383986685291,0.8829910541801647
max,0.7734121912800547,0.9407970992956282,0.9640383986685291,0.8829910541801647
