,1,3,5,MER,epochs
count,5.0,5.0,5.0,5.0,5.0
mean,0.8039617332759779,0.9473422136497994,0.9669950788860501,0.8959698453915662,3.4
std,0.004160432913478418,0.001808575369421157,0.0015285998426826518,0.0018213450353246024,1.140175425099138
min,0.8001634654679199,0.9456848831593416,0.9657837054649479,0.8936731433666456,2.0
25%,0.8003863729241744,0.9459449418583051,0.9658580079503659,0.8951963443177174,3.0
50%,0.8032841698554817,0.9468365716833228,0.9665267303191292,0.895456403016681,3.0
75%,0.8058476056024074,0.9481759417490155,0.9673081209599524,0.8971653601812981,4.0
max,0.8101270525299057,0.9500687297990118,0.9694988297358547,0.8983579760754885,5.0
