,1,3,5,MER
count,1.0,1.0,1.0,1.0
mean,0.7950783130739739,0.9488810295122894,0.9697447023508783,0.8926798823074865
std,,,,
min,0.7950783130739739,0.9488810295122894,0.9697447023508783,0.8926798823074865
25%,0.7950783130739739,0.9488810295122894,0.9697447023508783,0.8926798823074865
50%,0.7950783130739739,0.9488810295122894,0.9697447023508783,0.8926798823074865
75%,0.7950783130739739,0.9488810295122894,0.9697447023508783,0.8926798823074865
max,0.7950783130739739,0.9488810295122894,0.9697447023508783,0.8926798823074865
