,1,3,5,MER
count,1.0,1.0,1.0,1.0
mean,0.7733527506166968,0.9474247332600232,0.9687936517371534,0.8914613487086516
std,,,,
min,0.7733527506166968,0.9474247332600232,0.9687936517371534,0.8914613487086516
25%,0.7733527506166968,0.9474247332600232,0.9687936517371534,0.8914613487086516
50%,0.7733527506166968,0.9474247332600232,0.9687936517371534,0.8914613487086516
75%,0.7733527506166968,0.9474247332600232,0.9687936517371534,0.8914613487086516
max,0.7733527506166968,0.9474247332600232,0.9687936517371534,0.8914613487086516
